State,District,Year,Quater,Registered_users,App_opens
andhra-pradesh,spsr nellore district,2018,1,194475,0
andhra-pradesh,vizianagaram district,2018,1,128905,0
andhra-pradesh,ysr district,2018,1,186800,0
andhra-pradesh,west godavari district,2018,1,213335,0
andhra-pradesh,chittoor district,2018,1,309541,0
andhra-pradesh,east godavari district,2018,2,454398,0
andhra-pradesh,srikakulam district,2018,2,186913,0
andhra-pradesh,visakhapatnam district,2018,2,636052,0
andhra-pradesh,prakasam district,2018,2,253458,0
andhra-pradesh,anantapur district,2018,2,326383,0
andhra-pradesh,kurnool district,2018,2,319313,0
andhra-pradesh,guntur district,2018,2,420326,0
andhra-pradesh,krishna district,2018,2,431965,0
andhra-pradesh,spsr nellore district,2018,2,261049,0
andhra-pradesh,vizianagaram district,2018,2,167327,0
andhra-pradesh,ysr district,2018,2,248657,0
andhra-pradesh,west godavari district,2018,2,282393,0
andhra-pradesh,chittoor district,2018,2,414306,0
andhra-pradesh,east godavari district,2018,3,558982,0
andhra-pradesh,srikakulam district,2018,3,228456,0
andhra-pradesh,visakhapatnam district,2018,3,769096,0
andhra-pradesh,prakasam district,2018,3,314899,0
andhra-pradesh,anantapur district,2018,3,405855,0
andhra-pradesh,kurnool district,2018,3,394311,0
andhra-pradesh,guntur district,2018,3,518931,0
andhra-pradesh,krishna district,2018,3,537086,0
andhra-pradesh,spsr nellore district,2018,3,322446,0
andhra-pradesh,vizianagaram district,2018,3,203655,0
andhra-pradesh,ysr district,2018,3,308391,0
andhra-pradesh,west godavari district,2018,3,349782,0
andhra-pradesh,chittoor district,2018,3,515727,0
andhra-pradesh,east godavari district,2018,4,694455,0
andhra-pradesh,srikakulam district,2018,4,284874,0
andhra-pradesh,visakhapatnam district,2018,4,978288,0
andhra-pradesh,prakasam district,2018,4,394962,0
andhra-pradesh,anantapur district,2018,4,510892,0
andhra-pradesh,kurnool district,2018,4,498582,0
andhra-pradesh,guntur district,2018,4,659552,0
andhra-pradesh,krishna district,2018,4,682479,0
andhra-pradesh,spsr nellore district,2018,4,407495,0
andhra-pradesh,vizianagaram district,2018,4,257824,0
andhra-pradesh,ysr district,2018,4,387058,0
andhra-pradesh,west godavari district,2018,4,435668,0
andhra-pradesh,chittoor district,2018,4,665280,0
andhra-pradesh,east godavari district,2019,1,839277,0
andhra-pradesh,srikakulam district,2019,1,345775,0
andhra-pradesh,visakhapatnam district,2019,1,1174517,0
andhra-pradesh,prakasam district,2019,1,474260,0
andhra-pradesh,anantapur district,2019,1,612162,0
andhra-pradesh,kurnool district,2019,1,599422,0
andhra-pradesh,guntur district,2019,1,802394,0
andhra-pradesh,krishna district,2019,1,833694,0
andhra-pradesh,spsr nellore district,2019,1,491908,0
andhra-pradesh,vizianagaram district,2019,1,313334,0
andhra-pradesh,ysr district,2019,1,460590,0
andhra-pradesh,west godavari district,2019,1,523372,0
andhra-pradesh,chittoor district,2019,1,812314,0
andhra-pradesh,east godavari district,2019,2,945181,7156762
andhra-pradesh,srikakulam district,2019,2,392764,3230330
andhra-pradesh,visakhapatnam district,2019,2,1318740,13681907
andhra-pradesh,prakasam district,2019,2,539462,4488365
andhra-pradesh,anantapur district,2019,2,695114,6056591
andhra-pradesh,kurnool district,2019,2,680118,6240480
andhra-pradesh,guntur district,2019,2,915256,7268875
andhra-pradesh,krishna district,2019,2,952300,7822632
andhra-pradesh,spsr nellore district,2019,2,558303,4774473
andhra-pradesh,vizianagaram district,2019,2,355058,3541678
andhra-pradesh,ysr district,2019,2,519031,4345848
andhra-pradesh,west godavari district,2019,2,592185,3853094
andhra-pradesh,chittoor district,2019,2,925491,8914216
andhra-pradesh,east godavari district,2019,3,1057167,28275322
andhra-pradesh,srikakulam district,2019,3,437939,11813195
andhra-pradesh,visakhapatnam district,2019,3,1460464,54836001
andhra-pradesh,prakasam district,2019,3,598568,16267041
andhra-pradesh,anantapur district,2019,3,773656,22845084
andhra-pradesh,kurnool district,2019,3,755024,22827473
andhra-pradesh,guntur district,2019,3,1026418,28477132
andhra-pradesh,krishna district,2019,3,1066546,30077671
andhra-pradesh,spsr nellore district,2019,3,619592,17768733
andhra-pradesh,vizianagaram district,2019,3,394375,13065845
andhra-pradesh,ysr district,2019,3,574109,15833900
andhra-pradesh,west godavari district,2019,3,662102,14227407
andhra-pradesh,chittoor district,2019,3,1032733,34638738
andhra-pradesh,east godavari district,2019,4,1195228,38299189
andhra-pradesh,srikakulam district,2019,4,496266,16353822
andhra-pradesh,visakhapatnam district,2019,4,1620235,70749983
andhra-pradesh,prakasam district,2019,4,673522,21639748
andhra-pradesh,anantapur district,2019,4,873033,30278539
andhra-pradesh,kurnool district,2019,4,846885,29676997
andhra-pradesh,guntur district,2019,4,1158708,37846179
andhra-pradesh,krishna district,2019,4,1199971,39407473
andhra-pradesh,spsr nellore district,2019,4,697154,23608360
andhra-pradesh,vizianagaram district,2019,4,443810,17515311
andhra-pradesh,ysr district,2019,4,646642,21543798
andhra-pradesh,west godavari district,2019,4,750078,19393528
andhra-pradesh,chittoor district,2019,4,1156351,44888591
andhra-pradesh,east godavari district,2020,1,1329664,46142746
andhra-pradesh,srikakulam district,2020,1,552007,20975989
andhra-pradesh,visakhapatnam district,2020,1,1763581,77558624
andhra-pradesh,prakasam district,2020,1,748655,26870693
andhra-pradesh,anantapur district,2020,1,971850,36900103
andhra-pradesh,kurnool district,2020,1,936293,34198350
andhra-pradesh,guntur district,2020,1,1289678,45282758
andhra-pradesh,krishna district,2020,1,1331602,46079408
andhra-pradesh,spsr nellore district,2020,1,775440,28879364
andhra-pradesh,vizianagaram district,2020,1,490683,21562104
andhra-pradesh,ysr district,2020,1,717865,26166193
andhra-pradesh,west godavari district,2020,1,843835,24542868
andhra-pradesh,chittoor district,2020,1,1270907,51354573
andhra-pradesh,east godavari district,2020,2,1459116,45884498
andhra-pradesh,srikakulam district,2020,2,608002,23808009
andhra-pradesh,visakhapatnam district,2020,2,1904719,69684456
andhra-pradesh,prakasam district,2020,2,830709,32255276
andhra-pradesh,anantapur district,2020,2,1076953,39704703
andhra-pradesh,kurnool district,2020,2,1035093,36268390
andhra-pradesh,guntur district,2020,2,1426271,44267596
andhra-pradesh,krishna district,2020,2,1459041,41234166
andhra-pradesh,spsr nellore district,2020,2,854459,30816403
andhra-pradesh,vizianagaram district,2020,2,537798,24370380
andhra-pradesh,ysr district,2020,2,796769,29644037
andhra-pradesh,west godavari district,2020,2,944829,26583613
andhra-pradesh,chittoor district,2020,2,1385916,49820171
andhra-pradesh,east godavari district,2020,3,1601940,64292857
andhra-pradesh,srikakulam district,2020,3,667858,31794753
andhra-pradesh,visakhapatnam district,2020,3,2058346,102589371
andhra-pradesh,prakasam district,2020,3,915240,44970519
andhra-pradesh,anantapur district,2020,3,1186851,55714787
andhra-pradesh,kurnool district,2020,3,1132240,49164718
andhra-pradesh,guntur district,2020,3,1567595,62427501
andhra-pradesh,krishna district,2020,3,1599289,61028114
andhra-pradesh,spsr nellore district,2020,3,937176,43951448
andhra-pradesh,vizianagaram district,2020,3,587784,31199437
andhra-pradesh,ysr district,2020,3,877909,41578067
andhra-pradesh,west godavari district,2020,3,1053674,38126238
andhra-pradesh,chittoor district,2020,3,1506503,69462572
andhra-pradesh,east godavari district,2020,4,1746280,82605352
andhra-pradesh,srikakulam district,2020,4,726761,36770992
andhra-pradesh,visakhapatnam district,2020,4,2209658,124730170
andhra-pradesh,prakasam district,2020,4,999462,52839846
andhra-pradesh,anantapur district,2020,4,1295872,69562398
andhra-pradesh,kurnool district,2020,4,1230466,60615045
andhra-pradesh,guntur district,2020,4,1712940,81291172
andhra-pradesh,krishna district,2020,4,1744028,81787771
andhra-pradesh,spsr nellore district,2020,4,1022944,54765443
andhra-pradesh,vizianagaram district,2020,4,634462,35110885
andhra-pradesh,ysr district,2020,4,959182,49596303
andhra-pradesh,west godavari district,2020,4,1163179,51170162
andhra-pradesh,chittoor district,2020,4,1631331,88232999
andhra-pradesh,east godavari district,2021,1,1878769,91478749
andhra-pradesh,srikakulam district,2021,1,782604,40590058
andhra-pradesh,visakhapatnam district,2021,1,2368081,135908324
andhra-pradesh,prakasam district,2021,1,1075936,56911479
andhra-pradesh,anantapur district,2021,1,1394849,73375049
andhra-pradesh,kurnool district,2021,1,1323411,65326230
andhra-pradesh,guntur district,2021,1,1843237,92731167
andhra-pradesh,krishna district,2021,1,1876458,92941553
andhra-pradesh,spsr nellore district,2021,1,1100541,60691988
andhra-pradesh,vizianagaram district,2021,1,681621,37752539
andhra-pradesh,ysr district,2021,1,1032689,53525815
andhra-pradesh,west godavari district,2021,1,1254117,57392671
andhra-pradesh,chittoor district,2021,1,1751420,99083825
andhra-pradesh,east godavari district,2021,2,2006272,84705076
andhra-pradesh,srikakulam district,2021,2,837958,43740255
andhra-pradesh,visakhapatnam district,2021,2,2526830,114313154
andhra-pradesh,prakasam district,2021,2,1151232,76850749
andhra-pradesh,anantapur district,2021,2,1492738,104568606
andhra-pradesh,kurnool district,2021,2,1415585,81894678
andhra-pradesh,guntur district,2021,2,1968681,88248064
andhra-pradesh,krishna district,2021,2,2002662,85771678
andhra-pradesh,spsr nellore district,2021,2,1176334,74049216
andhra-pradesh,vizianagaram district,2021,2,729509,42684475
andhra-pradesh,ysr district,2021,2,1103004,72255265
andhra-pradesh,west godavari district,2021,2,1339377,65118788
andhra-pradesh,chittoor district,2021,2,1870723,110505432
andhra-pradesh,east godavari district,2021,3,2150622,103626560
andhra-pradesh,srikakulam district,2021,3,902008,48622126
andhra-pradesh,visakhapatnam district,2021,3,2707931,139540800
andhra-pradesh,prakasam district,2021,3,1239147,91533813
andhra-pradesh,anantapur district,2021,3,1606735,124985545
andhra-pradesh,kurnool district,2021,3,1522196,101210508
andhra-pradesh,guntur district,2021,3,2110878,106621413
andhra-pradesh,krishna district,2021,3,2145423,104358295
andhra-pradesh,spsr nellore district,2021,3,1263550,90102349
andhra-pradesh,vizianagaram district,2021,3,784444,46277311
andhra-pradesh,ysr district,2021,3,1183377,86369956
andhra-pradesh,west godavari district,2021,3,1436576,80244808
andhra-pradesh,chittoor district,2021,3,2007011,135043395
andhra-pradesh,east godavari district,2021,4,2294347,142536856
andhra-pradesh,srikakulam district,2021,4,965335,61654215
andhra-pradesh,visakhapatnam district,2021,4,2888774,188757640
andhra-pradesh,prakasam district,2021,4,1325728,86410317
andhra-pradesh,anantapur district,2021,4,1719437,120768682
andhra-pradesh,kurnool district,2021,4,1628242,97379271
andhra-pradesh,guntur district,2021,4,2252443,130920743
andhra-pradesh,krishna district,2021,4,2288148,134436469
andhra-pradesh,spsr nellore district,2021,4,1349290,90814672
andhra-pradesh,vizianagaram district,2021,4,839606,56101822
andhra-pradesh,ysr district,2021,4,1262963,83534122
andhra-pradesh,west godavari district,2021,4,1532898,100007280
andhra-pradesh,chittoor district,2021,4,2141818,154395512
andhra-pradesh,east godavari district,2022,1,2432305,87134562
andhra-pradesh,srikakulam district,2022,1,1027283,46691467
andhra-pradesh,visakhapatnam district,2022,1,3061324,88803090
andhra-pradesh,prakasam district,2022,1,1408929,104851997
andhra-pradesh,anantapur district,2022,1,1827094,155792533
andhra-pradesh,kurnool district,2022,1,1729513,119653214
andhra-pradesh,guntur district,2022,1,2387051,88844052
andhra-pradesh,krishna district,2022,1,2423373,85871644
andhra-pradesh,spsr nellore district,2022,1,1431664,101671767
andhra-pradesh,vizianagaram district,2022,1,892889,44804002
andhra-pradesh,ysr district,2022,1,1339782,98878499
andhra-pradesh,west godavari district,2022,1,1626039,87642475
andhra-pradesh,chittoor district,2022,1,2270705,144146671
andhra-pradesh,east godavari district,2022,2,2564165,93383888
andhra-pradesh,srikakulam district,2022,2,1086164,51087942
andhra-pradesh,visakhapatnam district,2022,2,3226029,93552701
andhra-pradesh,prakasam district,2022,2,1487589,108172758
andhra-pradesh,anantapur district,2022,2,1928213,181499094
andhra-pradesh,kurnool district,2022,2,1825280,136447455
andhra-pradesh,guntur district,2022,2,2514794,91997209
andhra-pradesh,krishna district,2022,2,2552107,95341487
andhra-pradesh,spsr nellore district,2022,2,1509927,108755384
andhra-pradesh,vizianagaram district,2022,2,943242,50230853
andhra-pradesh,ysr district,2022,2,1412848,106157470
andhra-pradesh,west godavari district,2022,2,1714357,103338893
andhra-pradesh,chittoor district,2022,2,2392549,158771722
andhra-pradesh,east godavari district,2022,3,2702234,85780890
andhra-pradesh,srikakulam district,2022,3,1147016,46323107
andhra-pradesh,visakhapatnam district,2022,3,3397514,87888969
andhra-pradesh,prakasam district,2022,3,1567520,114185009
andhra-pradesh,anantapur district,2022,3,2030824,181038520
andhra-pradesh,kurnool district,2022,3,1924127,143715547
andhra-pradesh,guntur district,2022,3,2647100,91146114
andhra-pradesh,krishna district,2022,3,2685215,86220959
andhra-pradesh,spsr nellore district,2022,3,1588875,105928407
andhra-pradesh,vizianagaram district,2022,3,995141,46767889
andhra-pradesh,ysr district,2022,3,1487140,107976611
andhra-pradesh,west godavari district,2022,3,1805967,97509407
andhra-pradesh,chittoor district,2022,3,2517657,162524274
andhra-pradesh,east godavari district,2022,4,2835087,173720880
andhra-pradesh,srikakulam district,2022,4,1204785,72666058
andhra-pradesh,visakhapatnam district,2022,4,3566854,208604256
andhra-pradesh,prakasam district,2022,4,1642503,94432083
andhra-pradesh,anantapur district,2022,4,2128066,136685634
andhra-pradesh,kurnool district,2022,4,2018290,105333688
andhra-pradesh,guntur district,2022,4,2774365,144773169
andhra-pradesh,krishna district,2022,4,2813645,156902257
andhra-pradesh,spsr nellore district,2022,4,1663684,103101986
andhra-pradesh,vizianagaram district,2022,4,1044490,64406405
andhra-pradesh,ysr district,2022,4,1556901,93975668
andhra-pradesh,west godavari district,2022,4,1893310,129116752
andhra-pradesh,chittoor district,2022,4,2636036,189655966
andhra-pradesh,east godavari district,2023,1,2965296,98931582
andhra-pradesh,srikakulam district,2023,1,1263204,48743038
andhra-pradesh,visakhapatnam district,2023,1,3732544,107253885
andhra-pradesh,prakasam district,2023,1,1719910,112502189
andhra-pradesh,anantapur district,2023,1,2228505,177793392
andhra-pradesh,kurnool district,2023,1,2114023,149581663
andhra-pradesh,guntur district,2023,1,2900895,103514892
andhra-pradesh,krishna district,2023,1,2941585,98727644
andhra-pradesh,spsr nellore district,2023,1,1740294,111993275
andhra-pradesh,vizianagaram district,2023,1,1094782,55519223
andhra-pradesh,ysr district,2023,1,1628595,109842928
andhra-pradesh,west godavari district,2023,1,1980446,102965151
andhra-pradesh,chittoor district,2023,1,2755784,164669558
andhra-pradesh,east godavari district,2023,2,3082893,101375784
andhra-pradesh,srikakulam district,2023,2,1317771,48040159
andhra-pradesh,visakhapatnam district,2023,2,3877504,115516314
andhra-pradesh,prakasam district,2023,2,1792637,104288559
andhra-pradesh,anantapur district,2023,2,2323796,164437247
andhra-pradesh,kurnool district,2023,2,2202517,142843895
andhra-pradesh,guntur district,2023,2,3014655,97915941
andhra-pradesh,krishna district,2023,2,3054956,99723659
andhra-pradesh,spsr nellore district,2023,2,1811781,113350865
andhra-pradesh,vizianagaram district,2023,2,1141578,55405616
andhra-pradesh,ysr district,2023,2,1694843,98586928
andhra-pradesh,west godavari district,2023,2,2059880,116005083
andhra-pradesh,chittoor district,2023,2,2865250,170462384
andhra-pradesh,east godavari district,2023,3,3211557,83823834
andhra-pradesh,srikakulam district,2023,3,1375950,44064462
andhra-pradesh,visakhapatnam district,2023,3,4035323,116087299
andhra-pradesh,prakasam district,2023,3,1868997,94303883
andhra-pradesh,anantapur district,2023,3,2421293,152875757
andhra-pradesh,kurnool district,2023,3,2295754,124493256
andhra-pradesh,guntur district,2023,3,3137289,71855007
andhra-pradesh,krishna district,2023,3,3177643,73280755
andhra-pradesh,spsr nellore district,2023,3,1887005,73583227
andhra-pradesh,vizianagaram district,2023,3,1190571,41978556
andhra-pradesh,ysr district,2023,3,1764648,78787151
andhra-pradesh,west godavari district,2023,3,2146530,73274852
andhra-pradesh,chittoor district,2023,3,2981337,129032458
andhra-pradesh,east godavari district,2023,4,3329036,143550882
andhra-pradesh,srikakulam district,2023,4,1430226,48122562
andhra-pradesh,visakhapatnam district,2023,4,4180797,163404880
andhra-pradesh,prakasam district,2023,4,1939979,69411660
andhra-pradesh,anantapur district,2023,4,2512744,123617506
andhra-pradesh,kurnool district,2023,4,2383042,86461750
andhra-pradesh,guntur district,2023,4,3251121,132403935
andhra-pradesh,krishna district,2023,4,3291814,121925706
andhra-pradesh,spsr nellore district,2023,4,1956706,78993397
andhra-pradesh,vizianagaram district,2023,4,1236735,42889385
andhra-pradesh,ysr district,2023,4,1829864,69721701
andhra-pradesh,west godavari district,2023,4,2227243,86297777
andhra-pradesh,chittoor district,2023,4,3089391,143201818
arunachal-pradesh,lower subansiri district,2018,1,498,0
arunachal-pradesh,tirap district,2018,1,557,0
arunachal-pradesh,papum pare district,2018,1,7649,0
arunachal-pradesh,anjaw district,2018,1,278,0
arunachal-pradesh,lower siang district,2018,1,270,0
arunachal-pradesh,dibang valley district,2018,1,66,0
arunachal-pradesh,west kameng district,2018,1,2202,0
arunachal-pradesh,shi yomi district,2018,1,49,0
arunachal-pradesh,east kameng district,2018,1,222,0
arunachal-pradesh,lohit district,2018,1,1207,0
arunachal-pradesh,lepa rada district,2018,1,210,0
arunachal-pradesh,lower dibang valley district,2018,1,601,0
arunachal-pradesh,longding district,2018,1,256,0
arunachal-pradesh,west siang district,2018,1,846,0
arunachal-pradesh,kamle district,2018,1,22,0
arunachal-pradesh,upper siang district,2018,1,301,0
arunachal-pradesh,kurung kumey district,2018,1,97,0
arunachal-pradesh,siang district,2018,1,192,0
arunachal-pradesh,kra daadi district,2018,1,88,0
arunachal-pradesh,changlang district,2018,1,1208,0
arunachal-pradesh,pakke kessang district,2018,1,39,0
arunachal-pradesh,east siang district,2018,1,1803,0
arunachal-pradesh,upper subansiri district,2018,1,572,0
arunachal-pradesh,tawang district,2018,1,1525,0
arunachal-pradesh,namsai district,2018,1,737,0
arunachal-pradesh,lower subansiri district,2018,2,724,0
arunachal-pradesh,tirap district,2018,2,856,0
arunachal-pradesh,papum pare district,2018,2,11418,0
arunachal-pradesh,anjaw district,2018,2,410,0
arunachal-pradesh,lower siang district,2018,2,494,0
arunachal-pradesh,dibang valley district,2018,2,112,0
arunachal-pradesh,west kameng district,2018,2,3442,0
arunachal-pradesh,shi yomi district,2018,2,80,0
arunachal-pradesh,east kameng district,2018,2,343,0
arunachal-pradesh,lohit district,2018,2,1898,0
arunachal-pradesh,lepa rada district,2018,2,318,0
arunachal-pradesh,lower dibang valley district,2018,2,893,0
arunachal-pradesh,longding district,2018,2,412,0
arunachal-pradesh,west siang district,2018,2,1224,0
arunachal-pradesh,kamle district,2018,2,37,0
arunachal-pradesh,upper siang district,2018,2,481,0
arunachal-pradesh,kurung kumey district,2018,2,153,0
arunachal-pradesh,siang district,2018,2,293,0
arunachal-pradesh,kra daadi district,2018,2,144,0
arunachal-pradesh,changlang district,2018,2,2014,0
arunachal-pradesh,pakke kessang district,2018,2,66,0
arunachal-pradesh,east siang district,2018,2,2646,0
arunachal-pradesh,upper subansiri district,2018,2,883,0
arunachal-pradesh,tawang district,2018,2,2266,0
arunachal-pradesh,namsai district,2018,2,1276,0
arunachal-pradesh,lower subansiri district,2018,3,1033,0
arunachal-pradesh,tirap district,2018,3,1226,0
arunachal-pradesh,papum pare district,2018,3,16009,0
arunachal-pradesh,anjaw district,2018,3,542,0
arunachal-pradesh,lower siang district,2018,3,717,0
arunachal-pradesh,dibang valley district,2018,3,145,0
arunachal-pradesh,west kameng district,2018,3,4765,0
arunachal-pradesh,shi yomi district,2018,3,118,0
arunachal-pradesh,east kameng district,2018,3,521,0
arunachal-pradesh,lohit district,2018,3,2612,0
arunachal-pradesh,lepa rada district,2018,3,431,0
arunachal-pradesh,lower dibang valley district,2018,3,1286,0
arunachal-pradesh,longding district,2018,3,644,0
arunachal-pradesh,west siang district,2018,3,1652,0
arunachal-pradesh,kamle district,2018,3,65,0
arunachal-pradesh,upper siang district,2018,3,646,0
arunachal-pradesh,kurung kumey district,2018,3,222,0
arunachal-pradesh,siang district,2018,3,373,0
arunachal-pradesh,kra daadi district,2018,3,190,0
arunachal-pradesh,changlang district,2018,3,2889,0
arunachal-pradesh,pakke kessang district,2018,3,103,0
arunachal-pradesh,east siang district,2018,3,3590,0
arunachal-pradesh,upper subansiri district,2018,3,1169,0
arunachal-pradesh,tawang district,2018,3,3112,0
arunachal-pradesh,namsai district,2018,3,1862,0
arunachal-pradesh,lower subansiri district,2018,4,1459,0
arunachal-pradesh,tirap district,2018,4,1684,0
arunachal-pradesh,papum pare district,2018,4,21342,0
arunachal-pradesh,anjaw district,2018,4,744,0
arunachal-pradesh,lower siang district,2018,4,936,0
arunachal-pradesh,dibang valley district,2018,4,178,0
arunachal-pradesh,west kameng district,2018,4,6492,0
arunachal-pradesh,shi yomi district,2018,4,144,0
arunachal-pradesh,east kameng district,2018,4,691,0
arunachal-pradesh,lohit district,2018,4,3588,0
arunachal-pradesh,lepa rada district,2018,4,548,0
arunachal-pradesh,lower dibang valley district,2018,4,1827,0
arunachal-pradesh,longding district,2018,4,923,0
arunachal-pradesh,west siang district,2018,4,2117,0
arunachal-pradesh,kamle district,2018,4,109,0
arunachal-pradesh,upper siang district,2018,4,868,0
arunachal-pradesh,kurung kumey district,2018,4,321,0
arunachal-pradesh,siang district,2018,4,483,0
arunachal-pradesh,kra daadi district,2018,4,255,0
arunachal-pradesh,changlang district,2018,4,4036,0
arunachal-pradesh,pakke kessang district,2018,4,138,0
arunachal-pradesh,east siang district,2018,4,4813,0
arunachal-pradesh,upper subansiri district,2018,4,1576,0
arunachal-pradesh,tawang district,2018,4,4085,0
arunachal-pradesh,namsai district,2018,4,2495,0
arunachal-pradesh,lower subansiri district,2019,1,1879,0
arunachal-pradesh,tirap district,2019,1,2082,0
arunachal-pradesh,papum pare district,2019,1,26298,0
arunachal-pradesh,anjaw district,2019,1,934,0
arunachal-pradesh,lower siang district,2019,1,1123,0
arunachal-pradesh,dibang valley district,2019,1,211,0
arunachal-pradesh,west kameng district,2019,1,8115,0
arunachal-pradesh,shi yomi district,2019,1,186,0
arunachal-pradesh,east kameng district,2019,1,876,0
arunachal-pradesh,lohit district,2019,1,4416,0
arunachal-pradesh,lepa rada district,2019,1,710,0
arunachal-pradesh,lower dibang valley district,2019,1,2314,0
arunachal-pradesh,longding district,2019,1,1152,0
arunachal-pradesh,west siang district,2019,1,2656,0
arunachal-pradesh,kamle district,2019,1,141,0
arunachal-pradesh,upper siang district,2019,1,1125,0
arunachal-pradesh,kurung kumey district,2019,1,385,0
arunachal-pradesh,siang district,2019,1,651,0
arunachal-pradesh,kra daadi district,2019,1,350,0
