State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
puducherry,puducherry,605004,2020,3,143,40754.0,26,6761.0
puducherry,puducherry,605110,2020,4,202,165945.0,35,42490.0
puducherry,puducherry,605110,2021,1,283,254440.0,35,36039.0
puducherry,puducherry,605110,2021,2,455,432658.0,51,51808.0
puducherry,puducherry,605110,2021,3,494,464835.0,88,82245.0
puducherry,puducherry,605004,2021,4,685,767854.0,99,88881.0
puducherry,puducherry,605110,2022,1,1026,1416491.0,154,245314.0
puducherry,puducherry,605004,2022,2,981,1315292.0,111,118089.0
puducherry,puducherry,605004,2022,3,1335,1659848.0,151,202621.0
puducherry,puducherry,605110,2022,4,1916,2147849.0,274,341666.0
puducherry,puducherry,605110,2023,1,1684,2191876.0,257,370449.0
puducherry,puducherry,605110,2023,2,1527,2210627.0,205,261091.0
puducherry,puducherry,605110,2023,3,1891,2380727.0,242,298911.0
puducherry,puducherry,605110,2023,4,2093,2921421.0,298,445364.0
punjab,ludhiana,143001,2020,2,558,104769.0,122,23909.0
punjab,ludhiana,143001,2020,3,580,147327.0,136,35876.0
punjab,ludhiana,143001,2020,4,516,306909.0,123,81797.0
punjab,ludhiana,143001,2021,1,861,369315.0,212,90359.0
punjab,ludhiana,143001,2021,2,898,599843.0,266,228609.0
punjab,ludhiana,143001,2021,3,988,855879.0,238,172614.0
punjab,sas nagar,151501,2021,4,1079,1484361.0,512,194744.0
punjab,ludhiana,151501,2022,1,1184,2120278.0,630,257611.0
punjab,sas nagar,143001,2022,2,1609,2609655.0,447,708848.0
punjab,sas nagar,143001,2022,3,2303,3176155.0,657,990484.0
punjab,sas nagar,143001,2022,4,2288,3709862.0,623,946537.0
punjab,sas nagar,143001,2023,1,2146,4086044.0,576,1059132.0
punjab,sas nagar,143001,2023,2,2606,4613121.0,1098,1550651.0
punjab,sas nagar,143001,2023,3,2820,4641417.0,902,1230501.0
punjab,sas nagar,143001,2023,4,2981,5886008.0,681,1299639.0
rajasthan,jaipur,302012,2020,2,2009,379106.0,172,32400.0
rajasthan,jaipur,345021,2020,3,4428,1131777.0,1003,203794.0
rajasthan,jaipur,302012,2020,4,3318,1641429.0,291,162983.0
rajasthan,jaipur,302012,2021,1,4630,2056318.0,359,183588.0
rajasthan,jaipur,302012,2021,2,4282,3189878.0,399,263480.0
rajasthan,jaipur,302012,2021,3,4107,3228729.0,413,360214.0
rajasthan,jaipur,302012,2021,4,5571,6278712.0,535,664537.0
rajasthan,jaipur,302012,2022,1,6330,8534407.0,734,972266.0
rajasthan,jaipur,302012,2022,2,7224,9069667.0,707,888678.0
rajasthan,jaipur,302012,2022,3,9778,11871696.0,959,1175252.0
rajasthan,jaipur,302012,2022,4,12312,16383317.0,1201,1616414.0
rajasthan,jaipur,302012,2023,1,10690,16192985.0,1011,1646784.0
rajasthan,jaipur,302012,2023,2,11344,16436901.0,1057,1461334.0
rajasthan,jaipur,302012,2023,3,12126,17396150.0,1219,1860747.0
rajasthan,jaipur,302012,2023,4,14759,25167653.0,1482,2523355.0
sikkim,east,737101,2020,2,16,3449.0,4,693.0
sikkim,east,737101,2020,3,66,20284.0,20,7008.0
sikkim,east,737132,2020,4,41,26778.0,10,7724.0
sikkim,east,737102,2021,1,72,64393.0,19,14604.0
sikkim,east,737102,2021,2,55,77437.0,18,21791.0
sikkim,east,737135,2021,3,67,86194.0,18,12745.0
sikkim,east,737102,2021,4,109,291074.0,31,49179.0
sikkim,east,737101,2022,1,157,463841.0,60,172245.0
sikkim,east,737101,2022,2,99,233452.0,28,88553.0
sikkim,east,737102,2022,3,165,310190.0,49,63214.0
sikkim,east,737101,2022,4,192,377889.0,52,96887.0
sikkim,east,737101,2023,1,158,380139.0,38,101511.0
sikkim,east,737101,2023,2,169,366045.0,53,121203.0
sikkim,east,737102,2023,3,155,436190.0,49,84286.0
sikkim,east,737101,2023,4,184,485048.0,51,119245.0
tamil-nadu,chennai,600042,2020,2,1251,220843.0,93,15991.0
tamil-nadu,chennai,641603,2020,3,1054,285279.0,120,23382.0
tamil-nadu,chennai,641602,2020,4,1615,1430154.0,124,86533.0
tamil-nadu,chennai,600100,2021,1,2570,2012553.0,153,157286.0
tamil-nadu,chennai,600100,2021,2,2673,2195652.0,161,151891.0
tamil-nadu,chennai,641602,2021,3,4367,3861435.0,275,186708.0
tamil-nadu,chennai,641602,2021,4,5769,6143037.0,469,473016.0
tamil-nadu,chennai,600100,2022,1,9138,9949256.0,528,601074.0
tamil-nadu,chennai,600100,2022,2,8966,9428379.0,631,647439.0
tamil-nadu,chennai,600100,2022,3,12059,12069618.0,812,945525.0
tamil-nadu,chennai,641602,2022,4,21588,21184965.0,1510,1658165.0
tamil-nadu,chennai,600100,2023,1,20140,20511279.0,1180,1420018.0
tamil-nadu,chennai,600100,2023,2,15678,16453783.0,1106,1302940.0
tamil-nadu,chennai,600100,2023,3,17189,16904783.0,1118,1426946.0
tamil-nadu,chennai,600100,2023,4,18144,19953865.0,1258,1760781.0
telangana,hyderabad,500072,2020,2,4783,805518.0,760,122394.0
telangana,rangareddy,500072,2020,3,6340,1509162.0,1103,243812.0
telangana,hyderabad,500072,2020,4,3682,1892565.0,554,307425.0
telangana,hyderabad,500072,2021,1,5067,2446647.0,677,374999.0
telangana,rangareddy,500072,2021,2,5618,4515303.0,915,574372.0
telangana,hyderabad,500072,2021,3,5201,3813732.0,803,638626.0
telangana,hyderabad,500072,2021,4,7016,7001072.0,1157,1344799.0
telangana,hyderabad,500072,2022,1,7434,9813417.0,1197,1628490.0
telangana,rangareddy,500072,2022,2,10065,13653367.0,1794,2115388.0
telangana,rangareddy,500072,2022,3,11801,15523643.0,2176,2594114.0
telangana,rangareddy,500072,2022,4,15005,21565381.0,2486,3151661.0
telangana,rangareddy,500072,2023,1,13622,21152107.0,2244,3175666.0
telangana,rangareddy,500072,2023,2,13998,20753771.0,2534,3686902.0
telangana,rangareddy,500072,2023,3,16236,23374057.0,2646,3365765.0
telangana,rangareddy,500072,2023,4,16541,29175361.0,2539,4276139.0
tripura,west tripura,799001,2020,2,46,11646.0,10,1941.0
tripura,west tripura,799001,2020,3,117,31197.0,34,10471.0
tripura,west tripura,799001,2020,4,122,71380.0,19,7373.0
tripura,west tripura,799001,2021,1,166,96897.0,40,25228.0
tripura,west tripura,799003,2021,2,188,208504.0,27,36368.0
tripura,west tripura,799001,2021,3,296,357068.0,65,56240.0
tripura,west tripura,799001,2021,4,327,462804.0,65,64361.0
tripura,west tripura,799001,2022,1,469,689545.0,95,137163.0
tripura,west tripura,799001,2022,2,543,677226.0,101,98404.0
tripura,west tripura,799001,2022,3,823,1010660.0,153,144941.0
tripura,west tripura,799001,2022,4,746,953813.0,138,166359.0
tripura,west tripura,799001,2023,1,763,1011368.0,155,183935.0
tripura,west tripura,799001,2023,2,844,1100963.0,172,194970.0
tripura,west tripura,799001,2023,3,1066,1369406.0,185,207205.0
tripura,west tripura,799001,2023,4,1069,1383929.0,232,290875.0
uttar-pradesh,gautam buddha nagar,201307,2020,2,2335,394994.0,539,83923.0
uttar-pradesh,gautam buddha nagar,201301,2020,3,1969,502733.0,427,95476.0
uttar-pradesh,gautam buddha nagar,201301,2020,4,1890,1432507.0,496,320628.0
uttar-pradesh,gautam buddha nagar,201301,2021,1,2704,1750483.0,697,383781.0
uttar-pradesh,gautam buddha nagar,244001,2021,2,2623,2093735.0,654,325380.0
uttar-pradesh,gautam buddha nagar,201301,2021,3,3442,3050678.0,846,600065.0
uttar-pradesh,ghaziabad,201301,2021,4,4654,5977135.0,1049,1126772.0
uttar-pradesh,ghaziabad,201301,2022,1,4758,6537190.0,1052,1180961.0
uttar-pradesh,gautam buddha nagar,201301,2022,2,5904,7335621.0,1312,1413747.0
uttar-pradesh,gautam buddha nagar,201301,2022,3,7470,8955231.0,1886,1908594.0
uttar-pradesh,gautam buddha nagar,201301,2022,4,9335,12220201.0,2193,2399892.0
uttar-pradesh,ghaziabad,201301,2023,1,8919,12476473.0,2080,2580701.0
uttar-pradesh,gautam buddha nagar,201301,2023,2,8903,13095093.0,1992,2418828.0
uttar-pradesh,gautam buddha nagar,201301,2023,3,10225,13643003.0,2320,2626339.0
uttar-pradesh,gautam buddha nagar,201301,2023,4,10878,17960233.0,2521,3339961.0
uttarakhand,dehradun,248001,2020,2,313,59251.0,134,23867.0
uttarakhand,dehradun,248001,2020,3,482,166568.0,175,57961.0
uttarakhand,dehradun,248001,2020,4,577,620548.0,148,170094.0
uttarakhand,dehradun,248001,2021,1,761,878779.0,235,272729.0
uttarakhand,dehradun,248001,2021,2,858,1143631.0,222,252535.0
uttarakhand,haridwar,247667,2021,3,1255,1050466.0,409,257998.0
uttarakhand,dehradun,248001,2021,4,1681,2630885.0,521,731215.0
uttarakhand,dehradun,248001,2022,1,1774,2986200.0,549,923054.0
uttarakhand,dehradun,248001,2022,2,2015,3197024.0,605,834941.0
uttarakhand,dehradun,248001,2022,3,2235,3326547.0,615,830504.0
uttarakhand,dehradun,248001,2022,4,2944,4789862.0,814,1328545.0
uttarakhand,dehradun,248001,2023,1,2611,4615566.0,741,1231807.0
uttarakhand,dehradun,248001,2023,2,2830,4928013.0,738,1212111.0
uttarakhand,dehradun,248001,2023,3,2753,4269377.0,764,1089443.0
uttarakhand,dehradun,248001,2023,4,3417,6454643.0,933,1682051.0
west-bengal,north twenty four parganas,711101,2020,2,2047,355405.0,108,17860.0
west-bengal,north twenty four parganas,711101,2020,3,2689,617166.0,111,21032.0
west-bengal,north twenty four parganas,700017,2020,4,1914,1511195.0,187,136281.0
west-bengal,kolkata,700046,2021,1,3750,2611912.0,750,471141.0
west-bengal,north twenty four parganas,712138,2021,2,3025,2628371.0,724,263805.0
west-bengal,kolkata,712138,2021,3,4808,3468389.0,1350,480755.0
west-bengal,north twenty four parganas,732101,2021,4,4922,5698422.0,298,252105.0
west-bengal,kolkata,734006,2022,1,6763,7736401.0,439,402290.0
west-bengal,north twenty four parganas,734006,2022,2,6379,8088304.0,388,358646.0
west-bengal,north twenty four parganas,711101,2022,3,8821,10908223.0,445,430598.0
west-bengal,north twenty four parganas,711101,2022,4,10071,13297497.0,509,510667.0
west-bengal,north twenty four parganas,711101,2023,1,11211,15232572.0,595,657261.0
west-bengal,north twenty four parganas,700039,2023,2,9956,12796714.0,493,598387.0
west-bengal,north twenty four parganas,700091,2023,3,11653,15397844.0,557,680347.0
west-bengal,north twenty four parganas,700156,2023,4,13483,19211808.0,699,1054625.0
