State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
bihar,patna,800001,2021,1,2101,1349311.0,393,228403.0
bihar,patna,800001,2021,2,2844,2420477.0,471,351926.0
bihar,patna,800001,2021,3,4025,3635269.0,622,539872.0
bihar,patna,800001,2021,4,5114,5291931.0,766,735530.0
bihar,patna,800001,2022,1,4444,5436425.0,704,796836.0
bihar,patna,800001,2022,2,4980,5796863.0,798,849952.0
bihar,patna,800001,2022,3,6711,7663832.0,1202,1329988.0
bihar,patna,800001,2022,4,7741,8886520.0,1363,1554670.0
bihar,patna,800001,2023,1,6401,7935610.0,1144,1280139.0
bihar,patna,800001,2023,2,7312,9370034.0,1237,1451616.0
bihar,patna,800001,2023,3,10764,12203806.0,1838,2006880.0
bihar,patna,800001,2023,4,9152,12139703.0,1458,2069004.0
chandigarh,chandigarh,160101,2020,2,149,29537.0,31,6158.0
chandigarh,chandigarh,160047,2020,3,264,70969.0,48,11353.0
chandigarh,chandigarh,160101,2020,4,200,153341.0,35,26948.0
chandigarh,chandigarh,160101,2021,1,338,238576.0,51,30704.0
chandigarh,chandigarh,160002,2021,2,378,310943.0,61,56288.0
chandigarh,chandigarh,160002,2021,3,494,469634.0,80,59092.0
chandigarh,chandigarh,160002,2021,4,710,835813.0,136,111958.0
chandigarh,chandigarh,160101,2022,1,792,1150932.0,120,170516.0
chandigarh,chandigarh,160002,2022,2,1330,1874959.0,178,239321.0
chandigarh,chandigarh,160101,2022,3,1533,1998439.0,197,224851.0
chandigarh,chandigarh,160002,2022,4,1403,2024528.0,201,270411.0
chandigarh,chandigarh,160101,2023,1,1520,2415574.0,225,285617.0
chandigarh,chandigarh,160101,2023,2,1704,2501107.0,229,301119.0
chandigarh,chandigarh,160002,2023,3,1883,2660630.0,270,370626.0
chandigarh,chandigarh,160101,2023,4,1767,3053934.0,269,425028.0
chhattisgarh,raipur,495001,2020,2,410,81039.0,93,16932.0
chhattisgarh,raipur,492001,2020,3,1324,395561.0,359,109861.0
chhattisgarh,raipur,492001,2020,4,854,518623.0,165,90502.0
chhattisgarh,raipur,492001,2021,1,1026,542296.0,241,112353.0
chhattisgarh,raipur,492001,2021,2,1208,819324.0,292,170890.0
chhattisgarh,raipur,492001,2021,3,1145,798270.0,284,175174.0
chhattisgarh,raipur,492001,2021,4,1504,1759887.0,394,483971.0
chhattisgarh,raipur,492001,2022,1,1650,2255466.0,457,616010.0
chhattisgarh,raipur,492001,2022,2,1773,2243228.0,465,490898.0
chhattisgarh,raipur,492001,2022,3,2103,2618098.0,571,554974.0
chhattisgarh,raipur,492001,2022,4,2894,3964532.0,704,869991.0
chhattisgarh,raipur,492001,2023,1,2822,3781934.0,647,773832.0
chhattisgarh,raipur,492001,2023,2,2650,3689547.0,723,902708.0
chhattisgarh,raipur,492001,2023,3,3101,4008990.0,694,852839.0
chhattisgarh,raipur,492001,2023,4,4216,6830052.0,958,1489874.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,2,595,90317.0,471,69757.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,3,167,44815.0,143,41073.0
dadra-&-nagar-haveli-&-daman-&-diu,daman,396230,2020,4,115,95653.0,93,42215.0
dadra-&-nagar-haveli-&-daman-&-diu,daman,396210,2021,1,234,150144.0,171,119823.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,2,221,107039.0,164,76796.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,3,191,125786.0,144,86509.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,4,244,207499.0,174,136491.0
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,1,281,337073.0,201,249751.0
