State,District,Year,Quater,Insurance_count,Insurance_amount
andhra-pradesh,kurnool district,2022,1,995,1641988.0
andhra-pradesh,chittoor district,2022,1,2887,4304499.0
andhra-pradesh,guntur district,2022,1,2748,3988284.0
andhra-pradesh,krishna district,2022,1,3914,5279784.0
andhra-pradesh,east godavari district,2022,2,3103,3899091.0
andhra-pradesh,srikakulam district,2022,2,946,1282760.0
andhra-pradesh,spsr nellore district,2022,2,2063,2686947.0
andhra-pradesh,vizianagaram district,2022,2,1145,1412957.0
andhra-pradesh,visakhapatnam district,2022,2,5851,7046107.0
andhra-pradesh,prakasam district,2022,2,1962,2331922.0
andhra-pradesh,anantapur district,2022,2,1794,2729962.0
andhra-pradesh,ysr district,2022,2,1418,1920103.0
andhra-pradesh,west godavari district,2022,2,2141,2903957.0
andhra-pradesh,kurnool district,2022,2,1233,1573534.0
andhra-pradesh,chittoor district,2022,2,2836,4207850.0
andhra-pradesh,guntur district,2022,2,3115,3979873.0
andhra-pradesh,krishna district,2022,2,4578,5733009.0
andhra-pradesh,east godavari district,2022,3,4355,5505134.0
andhra-pradesh,srikakulam district,2022,3,1079,1444643.0
andhra-pradesh,spsr nellore district,2022,3,2593,3257610.0
andhra-pradesh,vizianagaram district,2022,3,1270,1573445.0
andhra-pradesh,visakhapatnam district,2022,3,6720,7779967.0
andhra-pradesh,prakasam district,2022,3,2137,2552054.0
andhra-pradesh,anantapur district,2022,3,1934,2719786.0
andhra-pradesh,ysr district,2022,3,1892,2559169.0
andhra-pradesh,west godavari district,2022,3,2314,3113617.0
andhra-pradesh,kurnool district,2022,3,1318,1720753.0
andhra-pradesh,chittoor district,2022,3,3729,5145111.0
andhra-pradesh,guntur district,2022,3,4431,5271211.0
andhra-pradesh,krishna district,2022,3,5529,6149431.0
andhra-pradesh,east godavari district,2022,4,4450,5856052.0
andhra-pradesh,srikakulam district,2022,4,1294,1623449.0
andhra-pradesh,spsr nellore district,2022,4,2733,3658896.0
andhra-pradesh,vizianagaram district,2022,4,1373,1680979.0
andhra-pradesh,visakhapatnam district,2022,4,7636,9911879.0
andhra-pradesh,prakasam district,2022,4,2400,2848596.0
andhra-pradesh,anantapur district,2022,4,2425,3710468.0
andhra-pradesh,ysr district,2022,4,2261,2993022.0
andhra-pradesh,west godavari district,2022,4,2623,3513389.0
andhra-pradesh,kurnool district,2022,4,1810,2859172.0
andhra-pradesh,chittoor district,2022,4,4641,6166050.0
andhra-pradesh,guntur district,2022,4,5199,6244165.0
andhra-pradesh,krishna district,2022,4,5484,6977122.0
andhra-pradesh,east godavari district,2023,1,4069,5915626.0
andhra-pradesh,srikakulam district,2023,1,1100,1628429.0
andhra-pradesh,spsr nellore district,2023,1,2461,3621734.0
andhra-pradesh,vizianagaram district,2023,1,1104,1619607.0
andhra-pradesh,visakhapatnam district,2023,1,6752,9502319.0
andhra-pradesh,prakasam district,2023,1,1437,2188369.0
andhra-pradesh,anantapur district,2023,1,1565,2882540.0
andhra-pradesh,ysr district,2023,1,1509,2235497.0
andhra-pradesh,west godavari district,2023,1,2196,3370241.0
andhra-pradesh,kurnool district,2023,1,1208,2088411.0
andhra-pradesh,chittoor district,2023,1,3284,5677174.0
andhra-pradesh,guntur district,2023,1,3542,4957590.0
andhra-pradesh,krishna district,2023,1,4693,6275818.0
andhra-pradesh,east godavari district,2023,2,3690,5519480.0
andhra-pradesh,srikakulam district,2023,2,1083,1556225.0
andhra-pradesh,spsr nellore district,2023,2,2468,3679371.0
