State,District,Year,Quater,Transaction_count,Transaction_amount
andhra-pradesh,guntur district,2019,3,6942304,13075661264.188034
andhra-pradesh,krishna district,2019,3,8408474,16404073560.500784
andhra-pradesh,east godavari district,2019,4,9285739,16816774065.301317
andhra-pradesh,srikakulam district,2019,4,3712555,6832369301.879345
andhra-pradesh,spsr nellore district,2019,4,5877804,11786014089.194027
andhra-pradesh,vizianagaram district,2019,4,3998234,7175851807.068796
andhra-pradesh,visakhapatnam district,2019,4,23594874,39133296330.044624
andhra-pradesh,prakasam district,2019,4,4865473,10604077824.801035
andhra-pradesh,anantapur district,2019,4,6764112,13887248889.064066
andhra-pradesh,ysr district,2019,4,4793157,10865073855.730783
andhra-pradesh,west godavari district,2019,4,4596479,9710614747.20177
andhra-pradesh,kurnool district,2019,4,7001958,13233105728.54823
andhra-pradesh,chittoor district,2019,4,11246986,19298476027.875484
andhra-pradesh,guntur district,2019,4,9761330,18565626418.035915
andhra-pradesh,krishna district,2019,4,11719402,23039786404.04664
andhra-pradesh,east godavari district,2020,1,11346242,21854701379.428688
andhra-pradesh,srikakulam district,2020,1,4835092,9777575594.177538
andhra-pradesh,spsr nellore district,2020,1,7430247,15387829694.446861
andhra-pradesh,vizianagaram district,2020,1,5042066,9879174240.920494
andhra-pradesh,visakhapatnam district,2020,1,27115031,48809747614.678894
andhra-pradesh,prakasam district,2020,1,6318396,14169104764.526735
andhra-pradesh,anantapur district,2020,1,8466129,17864325752.82528
andhra-pradesh,ysr district,2020,1,6031255,14059924636.819912
andhra-pradesh,west godavari district,2020,1,5919670,12995834340.716236
andhra-pradesh,kurnool district,2020,1,8246869,17022710311.813046
andhra-pradesh,chittoor district,2020,1,13257740,23441848567.344193
andhra-pradesh,guntur district,2020,1,11493331,22992734620.64621
andhra-pradesh,krishna district,2020,1,12175289,24481702770.71471
andhra-pradesh,east godavari district,2020,2,13130334,26319906327.32029
andhra-pradesh,srikakulam district,2020,2,6425515,12153650076.875832
andhra-pradesh,spsr nellore district,2020,2,9454274,20665376460.772232
andhra-pradesh,vizianagaram district,2020,2,6690313,12819344389.545382
andhra-pradesh,visakhapatnam district,2020,2,25300401,48293889917.41437
andhra-pradesh,prakasam district,2020,2,8844580,19846026726.904335
andhra-pradesh,anantapur district,2020,2,10473739,22094006659.412506
andhra-pradesh,ysr district,2020,2,8033609,19597207268.132023
andhra-pradesh,west godavari district,2020,2,7273096,16585866855.159784
andhra-pradesh,kurnool district,2020,2,9821381,22419372061.805172
andhra-pradesh,chittoor district,2020,2,14848197,27361300300.01902
andhra-pradesh,guntur district,2020,2,12308707,27463593607.839108
andhra-pradesh,krishna district,2020,2,12313709,26964149095.366295
